"Entry Name","Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"Minisytravon-Counterscreen-washed.30","NCGC00138751-01","activity-counterscreen","null",4.000,4.777,"S(CC(=O)Nc1cc(F)c(C)cc1)C=1n2nc(CCn3c(C)cnc3)nc2-c2c(N=1)cccc2"
"Minisytravon-Counterscreen-washed.31","NCGC00123127-01","activity-counterscreen","null",4.000,-8.476,"S(Cc1cc(F)ccc1)c1c2c(n(CC(=O)N3CCC(C)CC3)c1)cccc2"
"Minisytravon-Counterscreen-washed.32","NCGC00108587-01","activity-counterscreen","null",4.000,12.641,"Fc1cc(C2N(c3ccc(C(=O)OCC)cc3)C(=O)c3[nH]nc(-c4occc4)c23)ccc1"
"Minisytravon-Counterscreen-washed.33","NCGC00137672-01","activity-counterscreen","null",4.000,-0.640,"Brc1ccc(C(=O)Nc2cc(C(=O)O)c(N3CCC(N4CCCCC4)CC3)nc2)cc1"
"Minisytravon-Counterscreen-washed.34","NCGC00120434-01","activity-counterscreen","null",4.000,23.480,"Clc1c(NC(=O)CSC2=NC3=C(C(=O)N2)CN(Cc2cc4OCOc4cc2)CC3)cccc1"
"Minisytravon-Counterscreen-washed.35","NCGC00132091-01","activity-counterscreen","null",4.000,8.363,"O=C(OCc1occc1)c1cc2N(Cc3c(C#N)cccc3)C(=O)c3c(Sc2cc1)cccc3"
"Minisytravon-Counterscreen-washed.36","NCGC00102055-01","activity-counterscreen","0.223872",1.200,19.793,"S(CCCC(=O)Nc1c(OC)cc(OC)cc1)c1nc(C(F)(F)F)cc(-c2occc2)n1"
"Minisytravon-Counterscreen-washed.37","NCGC00131997-01","activity-counterscreen","null",4.000,14.439,"Brc1ccc(NC(=O)N2CCN(S(=O)(=O)c3cc4c(n(C)cc4)cc3)CCC2)cc1"
"Minisytravon-Counterscreen-washed.38","NCGC00101565-01","activity-counterscreen","null",4.000,12.274,"S(CC(=O)Nc1c(C(=O)OCC)c(C)c(C)s1)c1nc(C(F)(F)F)cc(-c2ccc(OC)cc2)n1"
"Minisytravon-Counterscreen-washed.39","NCGC00107942-01","activity-counterscreen","null",4.000,14.542,"S(=O)(=O)(Nc1cc(OC)ccc1)c1cc2C(=O)C(C(=O)N(Cc3occc3)C)=CNc2cc1"
"Minisytravon-Counterscreen-washed.40","NCGC00111716-01","activity-counterscreen","null",4.000,5.605,"Clc1c(OC)ccc(NC(=O)CN2C(=O)N(Cc3occc3)C(=O)c3sc4c(c23)cccc4)c1"
"Minisytravon-Counterscreen-washed.41","NCGC00137590-01","activity-counterscreen","null",4.000,-8.014,"O=C(O)c1c(N2CCN(c3c(C)ccc(C)c3)CC2)ccc(NC(=O)c2sccc2)c1"
"Minisytravon-Counterscreen-washed.42","NCGC00113415-01","activity-counterscreen","null",4.000,9.835,"S(Cc1ccc(F)cc1)c1n(Cc2ccc(C(=O)NCc3oc(C)cc3)cc2)c2ncccc2n1"
"Minisytravon-Counterscreen-washed.43","NCGC00126020-01","activity-counterscreen","null",4.000,-3.671,"O=C(Nc1c(C)cc(C)cc1)CN1C(=O)C(CNc2ccc(OC)cc2)=Cc2c1cc1OCOc1c2"
"Minisytravon-Counterscreen-washed.44","NCGC00138436-01","activity-counterscreen","0.063096",1.400,6.721,"S(CC(=O)Nc1ccc(OCC)cc1)C1=Nc2c(cccc2)C=2N1C(=O)C(CC(=O)NCc1occc1)N=2"
"Minisytravon-Counterscreen-washed.45","NCGC00136278-01","activity-counterscreen","null",4.000,17.674,"S(=O)(=O)(C(CNC(=O)c1cc(OC)c(OC)cc1)c1occc1)c1sccc1"
"Minisytravon-Counterscreen-washed.46","NCGC00129200-01","activity-counterscreen","null",4.000,23.150,"Clc1ccc(C=2S(=O)(=O)N=C(N3CCC(C(=O)NCCc4occc4)CC3)C=2C)cc1"
"Minisytravon-Counterscreen-washed.47","NCGC00124177-01","activity-counterscreen","null",4.000,25.290,"S(=O)(=O)(N1CCN(c2ccc(OC)cc2)CC1)c1cc2c(N(C(=O)C)C(C)C2)cc1"
"Minisytravon-Counterscreen-washed.48","NCGC00140739-01","activity-counterscreen","null",4.000,8.198,"O=C(Nc1ccc(OCC)cc1)c1c(NCc2oc(C)cc2)sc2c1CCCCC2"
"Minisytravon-Counterscreen-washed.49","NCGC00137248-01","activity-counterscreen","null",4.000,-0.276,"Clc1cc(N2CCN(C(c3ccc([N+](=O)[O-])cc3)C3=C(O)n4nc(-c5occc5)nc4S3)CC2)ccc1"
"Minisytravon-Counterscreen-washed.50","NCGC00115038-01","activity-counterscreen","null",4.000,12.887,"Clc1c(C(=O)Nc2ccc(S(=O)(=O)N(CC)c3ccccc3)cc2)nc(S(=O)(=O)C)nc1"
"Minisytravon-Counterscreen-washed.51","NCGC00109403-01","activity-counterscreen","null",4.000,-7.905,"S(CC(=O)NCc1c(OC)cccc1)Cc1c(C)oc(-c2cc(OC)c(OC)cc2)n1"
"Minisytravon-Counterscreen-washed.52","NCGC00106223-01","activity-counterscreen","null",4.000,9.109,"O(C)c1c(N2C(=O)N(CC=3N=C4N(C(=O)C=3)C(C)=CC=C4)c3sc4c(c3C2=O)CCC4)ccc(OC)c1"
"Minisytravon-Counterscreen-washed.53","NCGC00107652-01","activity-counterscreen","null",4.000,22.476,"S(CC(=O)Nc1cc2OCOc2cc1)c1c(-c2ccccc2)[nH]c(-c2ccc(OC)cc2)n1"
"Minisytravon-Counterscreen-washed.54","NCGC00140697-01","activity-counterscreen","null",4.000,18.330,"Clc1cc(NC(=O)c2c(NCc3sccc3)sc3c2CCC(C)C3)c(OC)cc1"
"Minisytravon-Counterscreen-washed.55","NCGC00132775-01","activity-counterscreen","null",4.000,11.154,"S(C)c1ccc(CNC(=O)CN2C(=O)C3N(c4c2cc(C(=O)N2CCCC2)cc4)CCCC3)cc1"
"Minisytravon-Counterscreen-washed.56","NCGC00119369-01","activity-counterscreen","null",4.000,0.323,"O=C(N(CCCC)C)Cn1c(C2CN(c3ccc(C)cc3)C(=O)C2)nc2c1cccc2"
"Minisytravon-Counterscreen-washed.57","NCGC00111051-01","activity-counterscreen","null",4.000,-11.482,"C(c1sc(CC)cc1)(c1c2c([nH]c1)ccc(C)c2)c1ccccc1"
