"Entry ID","Entry Name","Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"116","Minisytravon-Cherrypicks-washed.116","NCGC00117374-01","activity-cherrypicks","35.481339",-2.200,-77.975,"O=C(Nc1ccc(CC)cc1)C(C)N1C(=O)c2c(sc(-c3ccccc3)c2)N=N1"
"117","Minisytravon-Cherrypicks-washed.117","NCGC00115382-01","activity-cherrypicks","31.622777",-2.400,-21.348,"O(C)c1ccc(C2N(Cc3occc3)C(=O)c3[nH]nc(-c4c(O)cccc4)c23)cc1"
"118","Minisytravon-Cherrypicks-washed.118","NCGC00104263-01","activity-cherrypicks","35.481339",-2.200,-67.133,"S(c1c(OC(=O)C(C)C)n(-c2ccccc2)nc1C)c1ccccc1"
"119","Minisytravon-Cherrypicks-washed.119","NCGC00105476-01","activity-cherrypicks","35.481339",-3.000,-43.106,"Clc1cc(-c2onc(C(=O)Nc3c(C#N)c(CC)c(C)s3)c2)ccc1"
"120","Minisytravon-Cherrypicks-washed.120","NCGC00141938-01","activity-cherrypicks","35.481339",-2.200,-75.705,"Brc1ccc(S(=O)(=O)Nc2c3c(c4oc(C)c(C(=O)C)c4c2)cccc3)cc1"
"121","Minisytravon-Cherrypicks-washed.121","NCGC00107426-01","activity-cherrypicks","35.481339",-2.400,-22.271,"Clc1c(C(=O)Nc2c(N3CCC(C(=O)OCC)CC3)cc3N(C)C(=O)N(C)c3c2)cccc1"
"122","Minisytravon-Cherrypicks-washed.122","NCGC00102659-01","activity-cherrypicks","3.981072",-2.200,-13.038,"ClC(F)(F)Oc1ccc(N(C(=O)c2nn3C(C(F)(F)F)=CC(c4occc4)=Nc3c2)C)cc1"
"123","Minisytravon-Cherrypicks-washed.123","NCGC00125858-01","activity-cherrypicks","31.622777",-2.200,-47.021,"O=C(Nc1c(C)cc(C)cc1C)C1CCN(c2nnc(C)c3c(C)n(-c4ccccc4)nc23)CC1"
"124","Minisytravon-Cherrypicks-washed.124","NCGC00100451-01","activity-cherrypicks","35.481339",-2.400,-26.924,"O(C)c1ccc(CNCCC(c2cc3OCOc3cc2)c2ccccc2)cc1"
"125","Minisytravon-Cherrypicks-washed.125","NCGC00114733-01","activity-cherrypicks","31.622777",-3.000,-40.813,"Clc1c(C)cc(OCCn2c(CCNC(=O)C3CCCCC3)nc3c2cccc3)cc1"
"126","Minisytravon-Cherrypicks-washed.126","NCGC00117038-01","activity-cherrypicks","28.183829",-2.200,-60.539,"Clc1c(C)c(-c2oc(CNCCSc3n(-c4ccccc4)nnn3)cc2)ccc1"
"127","Minisytravon-Cherrypicks-washed.127","NCGC00137640-01","activity-cherrypicks","5.011872",-1.100,-93.252,"Clc1ccc(OCCN2CCN(c3c(C(=O)O)cc(NC(=O)c4ccc(F)cc4)cc3)CC2)cc1"
"128","Minisytravon-Cherrypicks-washed.128","NCGC00112437-01","activity-cherrypicks","22.387211",-2.200,-63.714,"O=C(Nc1c(C(=O)OCC)cccc1)CN1C(=O)CC(c2occc2)Sc2c1cccc2"
"129","Minisytravon-Cherrypicks-washed.129","NCGC00140403-01","activity-cherrypicks","25.118864",-2.200,-26.810,"O=C(Nc1ccc(N(C)C)cc1)CN1C(=O)c2c(Sc3c1cc(C(=O)N1CCCC1)cc3)cccc2"
"130","Minisytravon-Cherrypicks-washed.130","NCGC00121534-01","activity-cherrypicks","31.622777",-2.400,-43.668,"O=C(OCC)c1cc(NC(=O)c2c(C)c3-c4nn(CC)cc4CCc3o2)ccc1"
"131","Minisytravon-Cherrypicks-washed.131","NCGC00109122-01","activity-cherrypicks","null",4.000,-8.917,"S(=O)(=O)(N(C)C1CCCCC1)c1cc2C(=O)C(C(=O)N3CCN(c4c(F)cccc4)CC3)=CN(CC)c2cc1"
"132","Minisytravon-Cherrypicks-washed.132","NCGC00103824-01","activity-cherrypicks","null",4.000,-27.252,"Clc1cc(C(=O)Nc2cc3c(C)cc(N4CCN(CC)CC4)nc3cc2)c(OC)cc1"
"133","Minisytravon-Cherrypicks-washed.133","NCGC00109585-01","activity-cherrypicks","31.622777",-2.200,-51.897,"S(=O)(CC(=O)NCc1c(OC)cccc1)Cc1c(C)oc(-c2cc(OC)c(OC)cc2)n1"
"134","Minisytravon-Cherrypicks-washed.134","NCGC00100714-01","activity-cherrypicks","35.481339",-3.000,-43.015,"O=C(Nc1ccc(OC)cc1)c1c(N)c2c(-c3ccc(OC)cc3)c3C(=O)CC(C)(C)Cc3nc2s1"
"135","Minisytravon-Cherrypicks-washed.135","NCGC00122022-01","activity-cherrypicks","28.183829",-2.200,-71.820,"O=C(Nc1c(C)ccc(C)c1)CCN1C(=O)c2c(Sc3ncccc13)cccc2"
"136","Minisytravon-Cherrypicks-washed.136","NCGC00101411-01","activity-cherrypicks","null",4.000,-13.284,"Brc1ccc(OC2=C(/C=C(\C#N)/c3n(C)c4c(n3)cccc4)C(=O)N3C(C(C)=CC=C3)=N2)cc1"
"137","Minisytravon-Cherrypicks-washed.137","NCGC00119748-01","activity-cherrypicks","28.183829",-2.400,-39.944,"Clc1ccc(C=2Nc3n(C(c4ccc(F)cc4)C=2)nc(NC(=O)c2occc2)n3)cc1"
"138","Minisytravon-Cherrypicks-washed.138","NCGC00100573-01","activity-cherrypicks","15.848932",-2.100,-81.502,"O=C(CN1CC(C(=O)OCC)CCC1)N1C=2C(=O)Oc3c(cc(OCc4ccccc4)cc3)C=2CCC1"
"139","Minisytravon-Cherrypicks-washed.139","NCGC00115716-01","activity-cherrypicks","25.118864",-2.200,-34.080,"O=C(NCc1occc1)c1c(NC(=O)C=2Oc3c(C(=O)C=2)cc(C)c(C)c3)sc2c1CCC2"
"140","Minisytravon-Cherrypicks-washed.140","NCGC00134063-01","activity-cherrypicks","25.118864",-2.200,-36.485,"S(=O)(=O)(N1C(CC)CCCC1)c1ccc(C(=O)Nc2c(C(=O)N)c3c(s2)CCC3)cc1"
"141","Minisytravon-Cherrypicks-washed.141","NCGC00111822-01","activity-cherrypicks","null",4.000,-10.446,"Clc1c(-c2oc(C)c(CS(=O)(=O)CC(=O)NC(CCc3ccccc3)C)n2)cccc1"
"142","Minisytravon-Cherrypicks-washed.142","NCGC00119159-01","activity-cherrypicks","19.952623",-2.400,-11.856,"O=C(Nc1cc(-c2sc3c(n2)cccc3)ccc1)CCCC"
"143","Minisytravon-Cherrypicks-washed.143","NCGC00098927-01","activity-cherrypicks","null",4.000,-24.505,"Brc1oc(C(=O)Nc2c(Cl)ccc(-c3oc4c(n3)ccc(C)c4)c2)cc1"
"144","Minisytravon-Cherrypicks-washed.144","NCGC00102312-01","activity-cherrypicks","12.589254",-1.100,-87.737,"Brc1ccc(S(=O)(=O)Nc2c(C)c(S(=O)(=O)c3ccc(C)cc3)c(O)cc2C)cc1"
"145","Minisytravon-Cherrypicks-washed.145","NCGC00122715-01","activity-cherrypicks","25.118864",-2.200,-48.803,"S(CC(=O)N1CCCCC1)c1nc(-c2ccc(OC)cc2)nc2Oc3c(C)ncc(CO)c3Cc12"
"146","Minisytravon-Cherrypicks-washed.146","NCGC00105890-01","activity-cherrypicks","31.622777",-2.400,-29.499,"O=C(OCC)CC(NC(=O)c1sc2N=C3C(C)=CC=CN3C(=O)c2c1)c1cc(OC)c(OCC(C)C)cc1"
"147","Minisytravon-Cherrypicks-washed.147","NCGC00114696-01","activity-cherrypicks","null",4.000,-18.642,"S(Cc1ccccc1)c1sc(N2C(=O)C(C#N)=CC=3C(=O)N4C(=NC2=3)C=CC(C)=C4)nn1"
"148","Minisytravon-Cherrypicks-washed.148","NCGC00111800-01","activity-cherrypicks","null",4.000,-12.573,"Clc1cc(NC(=O)CN2C(=O)N(c3cc(OC)ccc3)C(=O)c3sc4c(c23)cccc4)ccc1"
"149","Minisytravon-Cherrypicks-washed.149","NCGC00102880-01","activity-cherrypicks","31.622777",-3.000,-38.305,"Clc1c(C)c(N2C(N)=C(C#N)C(c3scc(CN4CCOCC4)c3)C=3C(=O)CCCC2=3)ccc1"
"150","Minisytravon-Cherrypicks-washed.150","NCGC00122650-01","activity-cherrypicks","31.622777",-2.200,-35.486,"O=C(Nc1cc(C)c(C)cc1)CN1C(=O)N(Cc2occc2)C(=O)c2oc3c(c12)cccc3"
"151","Minisytravon-Cherrypicks-washed.151","NCGC00118533-01","activity-cherrypicks","15.848932",-2.200,-79.332,"S(=O)(=O)(n1c(NCc2cc(OC)c(OC)cc2)nc(-c2occc2)n1)c1cc2c(cc1)cccc2"
"152","Minisytravon-Cherrypicks-washed.152","NCGC00117358-01","activity-cherrypicks","14.125375",-2.200,-33.957,"Clc1c(C(=O)Nc2sc3c(n2)ccc(OC)c3)nc(S(=O)(=O)Cc2c(F)cccc2)nc1"
"153","Minisytravon-Cherrypicks-washed.153","NCGC00112805-01","activity-cherrypicks","28.183829",-2.200,-51.382,"O=C(Nc1c(OCC)cccc1)CN1C(=O)N(Cc2occc2)C(=O)c2c1nccc2"
"154","Minisytravon-Cherrypicks-washed.154","NCGC00128305-01","activity-cherrypicks","25.118864",-2.200,-50.356,"O=C(N1CCN(c2c(C)ccc(C)c2)CC1)c1n(-c2sc(N3CCCCC3)nn2)ccc1"
"155","Minisytravon-Cherrypicks-washed.155","NCGC00105030-01","activity-cherrypicks","35.481339",-2.200,-53.062,"Clc1c(C)ccc(N2C(SCC(C)C)=Nc3sc4c(c3C2=O)CCN(C(=O)C)C4)c1"
"156","Minisytravon-Cherrypicks-washed.156","NCGC00140536-01","activity-cherrypicks","28.183829",-2.200,-47.178,"O=C(Nc1c(OC)cccc1)c1c(NCc2c(OC)c(OC)c(OC)cc2)sc2c1CCC2"
"157","Minisytravon-Cherrypicks-washed.157","NCGC00121480-01","activity-cherrypicks","35.481339",-3.000,-34.366,"Clc1c(C)cc(NC(=O)C2CCN(C3=Nc4c(-n5c3ccc5)cccc4)CC2)c(OC)c1"
"158","Minisytravon-Cherrypicks-washed.158","NCGC00136244-01","activity-cherrypicks","null",4.000,-16.388,"S(=O)(=O)(C(CNC(=O)C(=O)NCc1cc(OC)ccc1)c1occc1)c1sccc1"
"159","Minisytravon-Cherrypicks-washed.159","NCGC00100440-01","activity-cherrypicks","25.118864",-2.200,-50.713,"Clc1cc(F)c(NC(=O)c2c(N)c3c(s2)nc(-c2sccc2)cc3)cc1"
"160","Minisytravon-Cherrypicks-washed.160","NCGC00118182-01","activity-cherrypicks","35.481339",-3.000,-53.038,"O=C(N1c2n(C3([C@]4[C@@]1CCCC4)CCCCC3)nc(-c1occc1)n2)c1ccc(C)cc1"
"161","Minisytravon-Cherrypicks-washed.161","NCGC00120138-01","activity-cherrypicks","null",4.000,4.215,"S(c1c(C(=O)NCc2ccc(OCCC)cc2)[nH]c2c1ccc(OC)c2)c1ccccc1"
"162","Minisytravon-Cherrypicks-washed.162","NCGC00104724-01","activity-cherrypicks","31.622777",-2.200,-47.580,"S(=O)(=O)(c1c(SC(C)c2ccccc2)oc(-c2occc2)n1)c1ccc(C)cc1"
"163","Minisytravon-Cherrypicks-washed.163","NCGC00102478-01","activity-cherrypicks","17.782794",-2.200,-24.669,"ClC(F)(F)C=1n2nc(C(=O)Nc3cc(C(F)(F)F)ccc3)cc2N=C(c2occc2)C=1"
"164","Minisytravon-Cherrypicks-washed.164","NCGC00138557-01","activity-cherrypicks","17.782794",-2.200,-32.293,"S(CC(=O)Nc1ccc(N(C)C)cc1)C1=Nc2c(cccc2)C=2N1C(=O)C(CC(=O)NCc1cc3OCOc3cc1)N=2"
"165","Minisytravon-Cherrypicks-washed.165","NCGC00136184-01","activity-cherrypicks","null",4.000,-22.830,"O(C)c1c(C2N(CCCN(C)C)C(=O)C=3Oc4c(C(=O)C2=3)cc(C)cc4)cc(OC)cc1"
"166","Minisytravon-Cherrypicks-washed.166","NCGC00121540-01","activity-cherrypicks","null",4.000,0.130,"Fc1c(NC(=O)c2c(C)c3-c4nn(Cc5ccc(C)cc5)cc4CCc3o2)ccc(F)c1"
"167","Minisytravon-Cherrypicks-washed.167","NCGC00125495-01","activity-cherrypicks","28.183829",-2.200,-43.605,"S(=O)(=O)(Cc1c(C)oc(-c2ccc(C(=O)NCc3c(C)cccc3)cc2)n1)c1ccccc1"
"168","Minisytravon-Cherrypicks-washed.168","NCGC00131603-01","activity-cherrypicks","null",4.000,-2.184,"S(=O)(=O)(NCc1n(Cc2c(C)ccc(C)c2)ccc1)c1cc(OC)c(OC)cc1"
"169","Minisytravon-Cherrypicks-washed.169","NCGC00126274-01","activity-cherrypicks","35.481339",-2.200,-73.660,"Clc1c(CS(=O)(=O)CC2C(=O)Nc3c(N2)ccc(C(=O)NCc2ccc(OC)cc2)c3)cccc1"
"170","Minisytravon-Cherrypicks-washed.170","NCGC00111454-01","activity-cherrypicks","28.183829",-2.200,-47.625,"O=C(Nc1c(C)cccc1)/C(/C#N)=C/c1ccc(OCC=2N=C3SC(C)=NN3C(=O)C=2)cc1"
"171","Minisytravon-Cherrypicks-washed.171","NCGC00104760-01","activity-cherrypicks","28.183829",-2.200,-70.340,"Clc1ccc(S(=O)(=O)c2c(SC(CC)C)oc(-c3occc3)n2)cc1"
"172","Minisytravon-Cherrypicks-washed.172","NCGC00125369-01","activity-cherrypicks","null",4.000,-15.520,"S(Cc1c(C)oc(-c2ccc(C(=O)NCCc3ccc(OCC)cc3)cc2)n1)c1ccccc1"
"173","Minisytravon-Cherrypicks-washed.173","NCGC00098921-01","activity-cherrypicks","35.481339",-3.000,-40.943,"Clc1cc(NC(=O)CCCN2c3c(C(=O)c4c2cccc4)cc(C)cc3)c(C)cc1"
"174","Minisytravon-Cherrypicks-washed.174","NCGC00126288-01","activity-cherrypicks","14.125375",-2.200,-38.306,"O=[N+]([O-])c1c(C2C(C(=O)Nc3c(C)cc(C)cc3)=C(C)Nc3c(C(=O)Nc4ccccc4)cnn23)cccc1"
"175","Minisytravon-Cherrypicks-washed.175","NCGC00124273-01","activity-cherrypicks","31.622777",-2.200,-56.499,"S(=O)(=O)(NCc1cc(OC)c(OCC)cc1)c1cc2c([nH]c3c2CCCC3)cc1"
"176","Minisytravon-Cherrypicks-washed.176","NCGC00102412-01","activity-cherrypicks","null",4.000,-23.796,"O=C(Nc1c(C(=O)OC)c2c(s1)CCCCC2)C(Oc1ccc(CCC)cc1)C"
"177","Minisytravon-Cherrypicks-washed.177","NCGC00103004-01","activity-cherrypicks","null",4.000,-16.583,"FC(F)(F)c1c2c(N)c(C(=O)Nc3c(OC)cccc3)sc2nc2c1CN(C(=O)C)CC2"
"178","Minisytravon-Cherrypicks-washed.178","NCGC00117170-01","activity-cherrypicks","14.125375",-2.100,-96.521,"Clc1c(C(=O)NCc2ccc(OC)cc2)nc(S(=O)(=O)Cc2ccccc2)nc1"
"179","Minisytravon-Cherrypicks-washed.179","NCGC00137674-01","activity-cherrypicks","22.387211",-2.100,-84.235,"Clc1ccc(C(=O)Nc2cc(C(=O)O)c(N3CC=C(c4c(C)cccc4)CC3)nc2)cc1"
"180","Minisytravon-Cherrypicks-washed.180","NCGC00141465-01","activity-cherrypicks","null",4.000,-13.304,"S(=O)(=O)(Nc1c(N(C)C)cc2N(C)C(=O)N(C)c2c1)c1ccccc1"
"181","Minisytravon-Cherrypicks-washed.181","NCGC00139448-01","activity-cherrypicks","22.387211",-2.100,-90.563,"Clc1c(/C=C/c2n(S(=O)(=O)c3cc(Cl)ccc3)c3c(n2)cccc3)cccc1"
"182","Minisytravon-Cherrypicks-washed.182","NCGC00140758-01","activity-cherrypicks","8.912509",-1.200,-76.223,"Clc1c(N2C(SC(C(=O)N(CC)CC)CC)=Nc3[nH]nc(C)c3C2=N)cccc1"
"183","Minisytravon-Cherrypicks-washed.183","NCGC00100305-01","activity-cherrypicks","null",4.000,-8.459,"Clc1c(C(=O)Oc2c(OCC)cc(C3N=C(O)c4c(sc5c4CCN(C)C5)N3)cc2)cccc1"
"184","Minisytravon-Cherrypicks-washed.184","NCGC00136302-01","activity-cherrypicks","null",4.000,-7.924,"S(=O)(=O)(C(CNC(=O)C(=O)NCc1c(F)cccc1)c1occc1)c1sccc1"
"185","Minisytravon-Cherrypicks-washed.185","NCGC00137622-01","activity-cherrypicks","5.011872",-1.100,-95.583,"Brc1ccc(C(=O)Nc2cc(C(=O)O)c(N3CCOCC3)cc2)cc1"
"186","Minisytravon-Cherrypicks-washed.186","NCGC00141459-01","activity-cherrypicks","35.481339",-2.200,-52.489,"Clc1ccc(N2CCN(S(=O)(=O)c3cc4c(N(C)C(=O)C4)cc3)CC2)cc1"
"187","Minisytravon-Cherrypicks-washed.187","NCGC00139958-01","activity-cherrypicks","35.481339",-3.000,-57.541,"S(CC(=O)NC1CCC(C)CC1)c1nn2C(C)=C(Cc3ccc(C)cc3)C(C)=Nc2n1"
"188","Minisytravon-Cherrypicks-washed.188","NCGC00138879-01","activity-cherrypicks","28.183829",-2.100,-66.852,"S(CC(=O)Nc1c(OC)cccc1)C=1N(CCC(=O)NC2CCCCC2)C(=O)c2c(N=1)cccc2"
"189","Minisytravon-Cherrypicks-washed.189","NCGC00120930-01","activity-cherrypicks","7.943282",-1.200,-77.516,"S(=O)(=O)(N(Cc1occc1)C)c1sc(NC(=O)c2ccc(OCC(C)C)cc2)nn1"
"190","Minisytravon-Cherrypicks-washed.190","NCGC00118896-01","activity-cherrypicks","null",4.000,-23.495,"O=C(OC)c1c(O)c(-c2c(-c3cc4OCCOc4cc3)[nH]c3N(C)C(=O)NC(=O)c23)sc1C"
"191","Minisytravon-Cherrypicks-washed.191","NCGC00099209-02","activity-cherrypicks","4.466836",-1.100,-95.611,"O=C(Nc1c(C(=O)OC)c2C(C(=O)OC)CCc2s1)CCCOc1cc(C)ccc1"
"192","Minisytravon-Cherrypicks-washed.192","NCGC00136623-01","activity-cherrypicks","25.118864",-2.200,-72.276,"O=C(N(Cc1cnccc1)c1sc2c(C)ccc(OC)c2n1)C1CCCCC1"
"193","Minisytravon-Cherrypicks-washed.193","NCGC00113821-01","activity-cherrypicks","null",4.000,-13.874,"S(CC(=O)NCc1cc(OC)c(OC)cc1)Cc1c(n(-c2ccccc2)nc1)-n1cccc1"
"194","Minisytravon-Cherrypicks-washed.194","NCGC00104736-01","activity-cherrypicks","31.622777",-2.200,-38.600,"Clc1ccc(S(=O)(=O)c2c(SCC(=O)Nc3ccc(OCC)cc3)oc(-c3occc3)n2)cc1"
"195","Minisytravon-Cherrypicks-washed.195","NCGC00136881-01","activity-cherrypicks","31.622777",-2.200,-65.971,"S(=O)(=O)(NCCC1=C(C)n2nc(-c3ccccc3)nc2S1)c1cc(C)c(C)cc1"
"196","Minisytravon-Cherrypicks-washed.196","NCGC00134029-01","activity-cherrypicks","12.589254",-2.400,-34.341,"S(=O)(=O)(Nc1ccc(-c2nc3SC=C(C)n3c2)cc1)c1c(F)ccc(F)c1"
"197","Minisytravon-Cherrypicks-washed.197","NCGC00114860-01","activity-cherrypicks","null",4.000,5.086,"O=C(c1c(N)c(-c2scc(-c3ccc(OCC)cc3)n2)c2n1C=CC=C2)c1cc2OCOc2cc1"
"198","Minisytravon-Cherrypicks-washed.198","NCGC00134688-01","activity-cherrypicks","31.622777",-2.400,-22.327,"Clc1cc(CNC(=O)CSCc2n(C3CCCCC3)c3ncccc3n2)ccc1"
"199","Minisytravon-Cherrypicks-washed.199","NCGC00131445-01","activity-cherrypicks","15.848932",-1.100,-87.340,"O(C)c1c(OC)cc(CN2Cc3c(nc(N4CCN(c5ncccn5)CC4)nc3)CC2)c(OC)c1"
"200","Minisytravon-Cherrypicks-washed.200","NCGC00116377-01","activity-cherrypicks","28.183829",-2.400,-46.095,"O=C(OC=1c2c(C)oc(C)c2C(=O)C=C(c2cc(OC)c(OC)cc2)C=1)c1ccc(OC)cc1"
"201","Minisytravon-Cherrypicks-washed.201","NCGC00127820-01","activity-cherrypicks","null",4.000,-9.425,"S(=O)(=O)(N1CCCCC1)c1cc2c(nc(N3CCN(c4c(F)cccc4)CC3)cc2)cc1"
"202","Minisytravon-Cherrypicks-washed.202","NCGC00113437-01","activity-cherrypicks","28.183829",-2.200,-41.697,"S(Cc1ccc(F)cc1)c1n(C)c2c(n1)ccc(C(=O)NCc1ccc(CC)cc1)c2"
"203","Minisytravon-Cherrypicks-washed.203","NCGC00121705-01","activity-cherrypicks","31.622777",-2.400,-22.995,"O=C(NCCCN1CCN(CCC)CC1)c1cc2Sc3n(-c2cc1)cc(-c1ccc(C)cc1)n3"
"204","Minisytravon-Cherrypicks-washed.204","NCGC00130532-01","activity-cherrypicks","19.952623",-2.200,-43.572,"O=C(Nc1cc(C(=O)OCC=2N=C3SC(C)=NN3C(=O)C=2)ccc1)CCc1ccccc1"
"205","Minisytravon-Cherrypicks-washed.205","NCGC00141454-01","activity-cherrypicks","null",4.000,-9.150,"O=C(Nc1ccc(C)cc1)CN1C(=O)C(CNc2ccccc2)=Cc2c1cc1OCCOc1c2"
"206","Minisytravon-Cherrypicks-washed.206","NCGC00137370-01","activity-cherrypicks","null",4.000,-27.233,"S(=O)(=O)(N1C(c2c(F)cccc2)c2n(ccc2)CC1)c1c(C)ccc([N+](=O)[O-])c1"
"207","Minisytravon-Cherrypicks-washed.207","NCGC00126276-01","activity-cherrypicks","14.125375",-1.100,-82.151,"FC(F)(F)c1cc(NC(=O)c2c(n(-c3cc(F)ccc3)nc2)C2CCNCC2)ccc1"
"208","Minisytravon-Cherrypicks-washed.208","NCGC00112627-01","activity-cherrypicks","17.782794",-2.200,-26.481,"O=C(N(CCOC)Cc1occc1)c1sc-2c(C(=O)Nc3c-2cc(C)cc3)c1"
"209","Minisytravon-Cherrypicks-washed.209","NCGC00121917-01","activity-cherrypicks","17.782794",-2.200,-17.571,"O=C(NCC)c1cc2Sc3n(-c2cc1)cc(-c1cc(OC)ccc1)n3"
"210","Minisytravon-Cherrypicks-washed.210","NCGC00099353-01","activity-cherrypicks","35.481339",-2.200,-77.285,"O(C)c1c(N2C(/C=C/c3c(C)n(C)c4c3cccc4)=Nc3c(C2=O)cccc3)cccc1"
"211","Minisytravon-Cherrypicks-washed.211","NCGC00118444-01","activity-cherrypicks","12.589254",-1.100,-85.014,"O=C(Nc1sc2c(n1)CCCC2)c1c(OCCC)cccc1"
"212","Minisytravon-Cherrypicks-washed.212","NCGC00120208-01","activity-cherrypicks","28.183829",-2.100,-82.361,"Brc1c(CNC=2C(C)=C(S(=O)(=O)N=2)c2ccc(C(C)C)cc2)cccc1"
"213","Minisytravon-Cherrypicks-washed.213","NCGC00118906-01","activity-cherrypicks","null",4.000,-17.174,"O=C(OCC)c1c(O)c(-c2c(-c3c(C)ccc(C)c3)[nH]c3N(C)C(=O)NC(=O)c23)sc1C"
"214","Minisytravon-Cherrypicks-washed.214","NCGC00099387-01","activity-cherrypicks","22.387211",-2.200,-60.819,"Clc1cc(-c2oc(C(=O)Nc3cc4nc(-c5cnccc5)oc4cc3)cc2)ccc1"
"215","Minisytravon-Cherrypicks-washed.215","NCGC00115986-01","activity-cherrypicks","null",4.000,-16.101,"O=C(NCc1occc1)c1c(NC(=O)C=2Oc3c(C)c(C)ccc3C(=O)C=2)sc2c1CCCC2"
"216","Minisytravon-Cherrypicks-washed.216","NCGC00114666-01","activity-cherrypicks","19.952623",-2.100,-84.567,"S(Cc1c(F)cccc1)c1sc(N2C(=O)C(C#N)=CC=3C(=O)N4C(C(C)=CC=C4)=NC2=3)nn1"
"217","Minisytravon-Cherrypicks-washed.217","NCGC00141832-01","activity-cherrypicks","null",4.000,-17.213,"Brc1oc(-c2nc(-c3c(OC)cccc3)on2)cc1"
"218","Minisytravon-Cherrypicks-washed.218","NCGC00132151-01","activity-cherrypicks","28.183829",-2.200,-36.611,"O=C(NCc1cc(OCC)c(OCC)c(OCC)c1)c1cc2NC(=O)C3N(c2cc1)CCCC3"
"219","Minisytravon-Cherrypicks-washed.219","NCGC00117804-01","activity-cherrypicks","28.183829",-2.200,-56.793,"Brc1ccc(NC(=O)c2c(N(Cc3oc(C)cc3)Cc3occc3)cnc(S(=O)(=O)C)n2)cc1"
"220","Minisytravon-Cherrypicks-washed.220","NCGC00118288-01","activity-cherrypicks","25.118864",-2.200,-79.647,"S(=O)(=O)(c1c(SCCC)[nH]c(-c2ccccc2)n1)c1ccc(C)cc1"
"221","Minisytravon-Cherrypicks-washed.221","NCGC00116824-01","activity-cherrypicks","null",4.000,-8.666,"Clc1ccc(S(=O)(=O)c2c(NCCCN(CC)CC)sc(S(=O)(=O)c3ccccc3)n2)cc1"
"222","Minisytravon-Cherrypicks-washed.222","NCGC00112834-01","activity-cherrypicks","28.183829",-2.200,-43.366,"Clc1cc(NC(=O)CSC=2N(Cc3occc3)C(=O)c3oc4c(c3N=2)cccc4)c(OC)cc1"
"223","Minisytravon-Cherrypicks-washed.223","NCGC00135251-01","activity-cherrypicks","35.481339",-2.200,-42.627,"S(=O)(=O)(N1CCC(C(=O)NCc2ccc(N(C)C)cc2)CC1)c1cc2c(NC(=O)C=C2)cc1"
"224","Minisytravon-Cherrypicks-washed.224","NCGC00105632-01","activity-cherrypicks","35.481339",-2.200,-41.806,"O=C(Nc1c(C#N)c2c(s1)CCCC2)c1noc(-c2c(OC)cccc2)c1"
"225","Minisytravon-Cherrypicks-washed.225","NCGC00126013-01","activity-cherrypicks","31.622777",-2.200,-27.787,"O=C(NCc1c(C)cccc1)C1CCN(c2nnc(C)c3c(C)n(-c4ccc(OC)cc4)nc23)CC1"
"226","Minisytravon-Cherrypicks-washed.226","NCGC00133535-01","activity-cherrypicks","12.589254",-2.100,-90.616,"O(CC)c1ccc(C(N2CCN(C)CC2)C=2C(=O)N(Cc3occc3)C(C)=CC=2O)cc1"
"227","Minisytravon-Cherrypicks-washed.227","NCGC00133965-01","activity-cherrypicks","null",4.000,-3.464,"Clc1ccc(Cc2c(SCC(=O)N3CCN(c4ccc(OC)cc4)CC3)nc3c(n2)cccc3)cc1"
"228","Minisytravon-Cherrypicks-washed.228","NCGC00123422-01","activity-cherrypicks","28.183829",-2.200,-42.772,"FC(F)(F)Oc1ccc(NC(=O)COCc2noc(-c3occc3)c2)cc1"
"229","Minisytravon-Cherrypicks-washed.229","NCGC00119155-01","activity-cherrypicks","null",4.000,-7.323,"O=[N+]([O-])c1c(OCC(=O)Nc2cc(-c3sc4c(n3)cccc4)ccc2)cccc1"
"230","Minisytravon-Cherrypicks-washed.230","NCGC00133317-01","activity-cherrypicks","25.118864",-2.200,-49.802,"O(CCN1C(=O)C(C(N2CCN(c3ccccc3)CC2)c2c(OC)cccc2)=C(O)C=C1C)C"
"231","Minisytravon-Cherrypicks-washed.231","NCGC00101826-01","activity-cherrypicks","null",4.000,-5.585,"Clc1cc(NS(=O)(=O)c2cc3OC(=O)Nc3cc2)c(O)cc1"
"232","Minisytravon-Cherrypicks-washed.232","NCGC00134207-01","activity-cherrypicks","28.183829",-2.200,-47.196,"Clc1c(-c2nc(SCC(=O)NCc3occc3)c3C(=O)N(C)C(=O)N(C)c3n2)cccc1"
"233","Minisytravon-Cherrypicks-washed.233","NCGC00109675-01","activity-cherrypicks","22.387211",-2.200,-77.481,"Clc1cc(N2CCN(C(=O)C3CN(Cc4c(C)oc(-c5cc(C)ccc5)n4)CCC3)CC2)c(C)cc1"
"234","Minisytravon-Cherrypicks-washed.234","NCGC00140614-01","activity-cherrypicks","22.387211",-2.100,-92.630,"Clc1cc(NC(=O)c2c(NCc3cnccc3)sc3c2CCCC3)c(OC)cc1"
"235","Minisytravon-Cherrypicks-washed.235","NCGC00113030-01","activity-cherrypicks","14.125375",-2.200,-79.921,"Clc1ccc(Cc2oc3c(n2)cc(N)cc3)cc1"
