"Entry ID","Entry Name","Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"30","Minisytravon-Cherrypicks-washed.30","NCGC00133513-01","activity-cherrypicks","11.220185",-1.100,-85.559,"S(C)c1ccc(C(N2CCC(C(=O)OCC)CC2)C=2C(=O)N(Cc3occc3)C(C)=CC=2O)cc1"
"31","Minisytravon-Cherrypicks-washed.31","NCGC00133382-01","activity-cherrypicks","null",4.000,-1.344,"S(Cc1ccc(C(=O)OC)cc1)c1c(C(C)C)cnc2N(C)C(=O)N(C)C(=O)c12"
"32","Minisytravon-Cherrypicks-washed.32","NCGC00120106-01","activity-cherrypicks","null",4.000,-4.935,"S(c1c(C(=O)N2CCC(C)CC2)[nH]c2c1ccc(OC)c2)c1ccccc1"
"33","Minisytravon-Cherrypicks-washed.33","NCGC00118367-01","activity-cherrypicks","31.622777",-2.400,-26.126,"O=C(Nc1c(C(=O)OC)c(-c2sccc2)cs1)COc1ccc(CCC)cc1"
"34","Minisytravon-Cherrypicks-washed.34","NCGC00129574-01","activity-cherrypicks","28.183829",-2.200,-63.429,"O=C(Nc1c(OC)ccc(OC)c1)CN1C(=O)C=C(c2ccccc2)c2c(C)nn(C)c12"
"35","Minisytravon-Cherrypicks-washed.35","NCGC00101707-01","activity-cherrypicks","31.622777",-2.200,-51.088,"O=C(Nc1sc2c(n1)-c1c(cc(OC)cc1)C2)c1ccc(OC)cc1"
"36","Minisytravon-Cherrypicks-washed.36","NCGC00109295-01","activity-cherrypicks","25.118864",-2.200,-56.225,"S(=O)(=O)(N1CCC(C(=O)Nc2cc(C)cc(C)c2)CC1)c1c(/C=C/c2occc2)onc1C"
"37","Minisytravon-Cherrypicks-washed.37","NCGC00104476-01","activity-cherrypicks","null",4.000,-2.961,"S(=O)(=O)(c1c(SCC(=O)NC2CCCCC2)oc(-c2ccc(C)cc2)n1)c1ccccc1"
"38","Minisytravon-Cherrypicks-washed.38","NCGC00098473-01","activity-cherrypicks","35.481339",-2.200,-58.925,"Brc1ccc(C(=O)Nc2c(C(=O)Nc3ccc(OC)cc3)c3c(s2)CCCC3)cc1"
"39","Minisytravon-Cherrypicks-washed.39","NCGC00100141-01","activity-cherrypicks","14.125375",-2.200,-62.554,"Fc1c(C2C(C(=O)Nc3c(OC)cccc3)=C(C)Nc3n2nc(-c2occc2)n3)cccc1"
"40","Minisytravon-Cherrypicks-washed.40","NCGC00118212-01","activity-cherrypicks","28.183829",-2.200,-29.446,"O=[N+]([O-])c1cc(C(=O)N2c3n(C4([C@]5[C@@]2CCCC5)CCCCC4)nc(-c2occc2)n3)ccc1"
"41","Minisytravon-Cherrypicks-washed.41","NCGC00138751-01","activity-cherrypicks","null",4.000,-12.192,"S(CC(=O)Nc1cc(F)c(C)cc1)C=1n2nc(CCn3c(C)cnc3)nc2-c2c(N=1)cccc2"
"42","Minisytravon-Cherrypicks-washed.42","NCGC00123127-01","activity-cherrypicks","null",4.000,-12.467,"S(Cc1cc(F)ccc1)c1c2c(n(CC(=O)N3CCC(C)CC3)c1)cccc2"
"43","Minisytravon-Cherrypicks-washed.43","NCGC00108587-01","activity-cherrypicks","15.848932",-2.200,-66.067,"Fc1cc(C2N(c3ccc(C(=O)OCC)cc3)C(=O)c3[nH]nc(-c4occc4)c23)ccc1"
"44","Minisytravon-Cherrypicks-washed.44","NCGC00137672-01","activity-cherrypicks","5.623413",-1.100,-92.111,"Brc1ccc(C(=O)Nc2cc(C(=O)O)c(N3CCC(N4CCCCC4)CC3)nc2)cc1"
"45","Minisytravon-Cherrypicks-washed.45","NCGC00120434-01","activity-cherrypicks","null",4.000,-13.961,"Clc1c(NC(=O)CSC2=NC3=C(C(=O)N2)CN(Cc2cc4OCOc4cc2)CC3)cccc1"
"46","Minisytravon-Cherrypicks-washed.46","NCGC00132091-01","activity-cherrypicks","28.183829",-2.200,-67.520,"O=C(OCc1occc1)c1cc2N(Cc3c(C#N)cccc3)C(=O)c3c(Sc2cc1)cccc3"
"47","Minisytravon-Cherrypicks-washed.47","NCGC00102055-01","activity-cherrypicks","31.622777",-2.200,-22.293,"S(CCCC(=O)Nc1c(OC)cc(OC)cc1)c1nc(C(F)(F)F)cc(-c2occc2)n1"
"48","Minisytravon-Cherrypicks-washed.48","NCGC00131997-01","activity-cherrypicks","null",4.000,-22.773,"Brc1ccc(NC(=O)N2CCN(S(=O)(=O)c3cc4c(n(C)cc4)cc3)CCC2)cc1"
"49","Minisytravon-Cherrypicks-washed.49","NCGC00101565-01","activity-cherrypicks","31.622777",-2.100,-87.692,"S(CC(=O)Nc1c(C(=O)OCC)c(C)c(C)s1)c1nc(C(F)(F)F)cc(-c2ccc(OC)cc2)n1"
"50","Minisytravon-Cherrypicks-washed.50","NCGC00107942-01","activity-cherrypicks","31.622777",-2.200,-44.260,"S(=O)(=O)(Nc1cc(OC)ccc1)c1cc2C(=O)C(C(=O)N(Cc3occc3)C)=CNc2cc1"
"51","Minisytravon-Cherrypicks-washed.51","NCGC00111716-01","activity-cherrypicks","14.125375",-1.200,-77.125,"Clc1c(OC)ccc(NC(=O)CN2C(=O)N(Cc3occc3)C(=O)c3sc4c(c23)cccc4)c1"
"52","Minisytravon-Cherrypicks-washed.52","NCGC00137590-01","activity-cherrypicks","7.943282",-1.100,-92.568,"O=C(O)c1c(N2CCN(c3c(C)ccc(C)c3)CC2)ccc(NC(=O)c2sccc2)c1"
"53","Minisytravon-Cherrypicks-washed.53","NCGC00136902-01","activity-cherrypicks","null",4.000,-6.060,"S(CC(=O)NC)c1sc(NC(=O)Nc2ccccc2)nn1"
"54","Minisytravon-Cherrypicks-washed.54","NCGC00112695-01","activity-cherrypicks","null",4.000,-19.513,"Oc1ccc(NC2=Nc3c(-n4c2nnc4)cccc3)cc1"
"55","Minisytravon-Cherrypicks-washed.55","NCGC00105898-01","activity-cherrypicks","31.622777",-2.200,-40.706,"O=C1N(C)C(=O)c2nc3c(nc2N1C)cc(N(CC)CC)cc3"
"56","Minisytravon-Cherrypicks-washed.56","NCGC00136682-01","activity-cherrypicks","28.183829",-2.200,-52.065,"Brc1oc(C(=O)NC2CN(c3cc(C)c(C)cc3)C(=O)C2)cc1"
"57","Minisytravon-Cherrypicks-washed.57","NCGC00128445-01","activity-cherrypicks","35.481339",-2.200,-40.994,"O=C1N2N=C(CCCC)SC2=NC(CN(CC)c2ccccc2)=C1"
"58","Minisytravon-Cherrypicks-washed.58","NCGC00121730-01","activity-cherrypicks","28.183829",-2.200,-42.047,"O=C(N(CC)c1c(OCC)cccc1)c1noc2-c3c(OCc12)ccc(C)c3"
"59","Minisytravon-Cherrypicks-washed.59","NCGC00122035-01","activity-cherrypicks","null",4.000,-10.054,"S(CC(=O)N(C)c1ccccc1)C1=NN=Cn2c3c(occ3)cc12"
"60","Minisytravon-Cherrypicks-washed.60","NCGC00102360-01","activity-cherrypicks","35.481339",-2.200,-54.906,"S(=O)(=O)(n1c(CC)ncc1)c1c(OCC)cc(C)c(C(C)C)c1"
"61","Minisytravon-Cherrypicks-washed.61","NCGC00113246-01","activity-cherrypicks","null",4.000,-15.931,"Fc1c(CNC(=O)c2cc3N(C)CCSc3cc2)cccc1"
