"Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"NCGC00397191-01","Activity-cherrypicks","16.244624",-2.400,-25.722,"FC(F)(F)Oc1cc(CN2CC3(C(=O)N(Cc4oc(C)cc4)C(=O)[C@]4N3C[C@](O)C4)C2)ccc1"
"NCGC00390983-01","Activity-cherrypicks","null",4.000,-9.369,"Fc1ccc(-c2nc(C)nc([C@@]3[C@@]4C[C@](CNC(=O)c5occc5)N(C3)CC4)c2)cc1"
"NCGC00417725-01","Activity-cherrypicks","null",4.000,-18.149,"O=C(NCc1occc1)c1c(C)onc1-c1c(NCCc2ccccc2)n(C)nc1"
"NCGC00412014-01","Activity-cherrypicks","14.860013",-2.100,-91.760,"OCc1ccc(C=2C=C(c3cnc(O)cc3)c3n(cnc3)C=2)cc1"
"NCGC00416691-01","Activity-cherrypicks","16.673209",-2.200,-46.538,"Fc1c(O)ccc(-c2nccc3C(=O)C=C(c4cnccc4)Oc23)c1"
"NCGC00416762-01","Activity-cherrypicks","29.649624",-3.000,-33.983,"O=C1c2c(c(-c3ccc(CO)cc3)ncc2)OC(c2ccncc2)=C1"
"NCGC00400274-01","Activity-cherrypicks","29.649624",-2.200,-64.677,"S(=O)(=O)(N1[C@](C(=O)OC)Cc2ncn(C(C)C)c2C1)c1ccc(F)cc1"
"NCGC00397132-01","Activity-cherrypicks","null",4.000,-11.156,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(Cc1ncccc1)C3)C[C@](O)C2"
"NCGC00391941-01","Activity-cherrypicks","null",4.000,-15.244,"Fc1ccc(-c2c(C(=O)O)c([C@](NC(=O)c3[nH]c4c(n3)cccc4)C)on2)cc1"
"NCGC00438179-01","Activity-cherrypicks","null",4.000,-17.969,"C(N1C2(CCN(c3ncccn3)CC2)CCC1)c1oc(-c2n[nH]cc2)cc1"
"NCGC00425664-01","Activity-cherrypicks","null",4.000,4.140,"Fc1c(Cn2c(C)c(CC(=O)NCC3CC3)c3C(=O)CCCc23)cccc1"
"NCGC00378215-01","Activity-cherrypicks","null",4.000,-1.048,"Clc1nnc(N2C(=O)CN(Cc3cc(-c4c(C)cc(C)cc4)ccc3)CC2)cc1"
"NCGC00414424-01","Activity-cherrypicks","null",4.000,5.396,"Clc1ccc(C(=O)N2CCC3(C(=O)N(CCOC)CCO3)CC2)cc1"
"NCGC00412436-01","Activity-cherrypicks","29.649624",-2.400,-23.133,"O=C(NCc1occc1)Cc1c2c([nH]c1)ncc(-c1c(OC)nccc1)c2"
"NCGC00442455-01","Activity-cherrypicks","null",4.000,-4.965,"O=C(N1CC(O)(C)C(C)(C)C1)c1c(C)oc2c1C(=O)CCC2"
"NCGC00414463-01","Activity-cherrypicks","null",4.000,-1.982,"Clc1ccc(C(=O)N2CCC3(C(=O)N(CC4CC4)CCO3)CC2)cc1"
"NCGC00396421-01","Activity-cherrypicks","null",4.000,0.143,"FC(F)(F)c1c(C(=O)N[C@]2[C@](O)[C@](O)C[C@@]2c2ccccc2)cc(C)o1"
"NCGC00420044-01","Activity-cherrypicks","29.649624",-2.200,-44.076,"O=C(Nc1cnccc1)c1cnc2c(N(c3c(OC)cccc3)CCC2)c1"
"NCGC00416134-01","Activity-cherrypicks","null",4.000,-19.109,"O=C(Nc1cc(OC)c(OC)cc1)c1cc2NC(CNc3ccccc3)(C)COc2cc1"
"NCGC00449520-01","Activity-cherrypicks","22.946142",-2.200,-69.139,"Fc1ccc(-c2oc(CNC(=O)C3CN(Cc4cnccc4)C(=O)C3)cc2)cc1"
"NCGC00394320-01","Activity-cherrypicks","null",4.000,0.919,"O=C1N(CC2CCCCC2)[C@]2[C@@](OC1)CN(c1ncc(C#N)cc1)C2"
"NCGC00416649-01","Activity-cherrypicks","23.551533",-2.200,-48.451,"O=C1c2c(c(-c3cc(CO)ccc3)ncc2)OC(c2ncccc2)=C1"
"NCGC00411671-01","Activity-cherrypicks","null",4.000,-2.013,"Fc1cc(-c2nc(C(=O)NCC=3C(=O)NC(C)=CC=3C)c3c(n(C)cc3)c2)ccc1"
"NCGC00412045-01","Activity-cherrypicks","13.244",-2.100,-88.341,"O(C)c1c(OC)ccc(C=2C=C(c3cnc(O)cc3)c3n(cnc3)C=2)c1"
"NCGC00443491-01","Activity-cherrypicks","20.45077",-2.200,-74.101,"O=C(CCc1oc(-c2sccc2)cc1)N1C[C@](O)[C@@](O)(C)CC1"
"NCGC00419962-01","Activity-cherrypicks","23.551533",-2.400,-29.116,"O=C(Nc1ccccc1)c1cnc2c(N(c3c(OC)cccc3)CCC2)c1"
"NCGC00416765-01","Activity-cherrypicks","16.673209",-1.400,-29.199,"O=C1c2c(c(-c3cc(O)ccc3)ncc2)OC(c2ccncc2)=C1"
"NCGC00414454-01","Activity-cherrypicks","null",4.000,-2.598,"O=C(N1CCC2(C(=O)N(CC3CC3)CCO2)CC1)c1cc(O)ccc1"
"NCGC00393088-01","Activity-cherrypicks","null",4.000,5.719,"O=C(N[C@]1[C@](O)[C@](O)C[C@@]1c1c(C)cccc1)c1cc(OC)ccc1"
"NCGC00391602-01","Activity-cherrypicks","null",4.000,2.859,"Clc1c(F)cc([C@]2N3[C@](C(=O)OC)Cc4c5c([nH]c4[C@]3C[C@@](NCCOC)C2)cccc5)cc1"
"NCGC00397144-01","Activity-cherrypicks","null",4.000,-14.544,"Fc1c(CN2CC3(C(=O)N(Cc4oc(C)cc4)C(=O)[C@]4N3C[C@](O)C4)C2)cccc1"
"NCGC00412141-01","Activity-cherrypicks","14.860013",-2.100,-92.505,"O(C)c1cc(C=2C=C(c3cnc(O)cc3)c3n(cnc3)C=2)ccc1"
"NCGC00391808-01","Activity-cherrypicks","14.860013",-2.100,-90.881,"S(Cc1occc1)c1n([C@@]2[C@]3OC[C@@](OCc4ccccc4)[C@]3OC2)nnn1"
"NCGC00416641-01","Activity-cherrypicks","37.326665",-2.400,-46.736,"O(C)c1c(-c2nccc3C(=O)C=C(c4ncccc4)Oc23)cccc1"
"NCGC00400538-01","Activity-cherrypicks","29.649624",-2.200,-65.773,"S(=O)(=O)(N1[C@](C(=O)OC)Cc2ncn(C)c2C1)c1ccc(F)cc1"
"NCGC00442763-01","Activity-cherrypicks","6.467101",-1.100,-88.137,"Fc1cc(-n2nc(c(CN(Cc3n[nH]c(C)c3)C)c2)-c2oc(C)cc2)ccc1"
"NCGC00443521-01","Activity-cherrypicks","20.45077",-2.200,-49.777,"Fc1ccc(-c2oc(CNC(=O)C3CN(CC)C(=O)CC3)cc2)cc1"
"NCGC00439590-01","Activity-cherrypicks","22.946142",-2.200,-56.812,"Fc1ccc(-c2c(C)c3c([nH]2)ccc(CNC(=O)c2oc(CO)cc2)c3)cc1"
"NCGC00391516-01","Activity-cherrypicks","null",4.000,-13.366,"N(CC1CCCCC1)[C@@]1[C@]2OC[C@](Nc3nc(-c4occc4)ccn3)[C@]2OC1"
