"Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"NCGC00455775-01","Activity- counterscreen","null",4.000,-2.486,"O=C(N1CCC2(CCN(CC3CC3)C(=O)CC2)CC1)c1cc2OCOc2cc1"
"NCGC00424994-01","Activity- counterscreen","20.45077",-2.200,-57.855,"Clc1cc(-c2cc(O)c3OCCN(C(=O)c4nc(C)sc4)Cc3c2)ccc1"
"NCGC00458710-01","Activity- counterscreen","null",4.000,1.494,"O=C(CCc1c2c([nH]c1)cccc2)N1[C@]2c3c(nc(-c4ccccc4)nc3)C[C@@]1CC2"
"NCGC00473678-01","Activity- counterscreen","0.001823",1.400,-3.033,"Fc1cc(CN(C(=O)c2occc2)c2ccc(CC(=O)NCc3occc3)cc2)ccc1"
"NCGC00505729-01","Activity- counterscreen","null",4.000,2.887,"FC(F)(F)c1ccc(-c2nc3n(C)ncc3c(C(=O)NCc3oc(C)cc3)c2)cc1"
"NCGC00398062-01","Activity- counterscreen","null",4.000,-4.837,"O=C(Nc1c(OC)cccc1)NC=1C(=O)N2C(=CC=1)[C@]1CN(C(=O)Nc3ccc(OC)cc3)C[C@@](C2)C1"
"NCGC00429554-01","Activity- counterscreen","null",4.000,-0.172,"O=C(NCC1CC1)[C@]1[C@](CO)[C@@](O)c2c([C@]1c1cc(OC)c(OC)c(OC)c1)cc1OCOc1c2"
"NCGC00473469-01","Activity- counterscreen","null",4.000,-0.317,"Clc1c(C2C(C(=O)OC)=C(C)N(Cc3cc([N+](=O)[O-])ccc3)C(=O)C2)cccc1"
"NCGC00475602-01","Activity- counterscreen","null",4.000,0.868,"O=C(NCc1oc(C)cc1)C1NC(=O)c2n(ccc2)C1"
"NCGC00399336-01","Activity- counterscreen","null",4.000,2.663,"Brc1c(NC(=O)N[C@]2[C@@](O)[C@](O)CC(C(=O)N[C@](C(=O)N)Cc3ccc(OC)cc3)=C2)cccc1"
"NCGC00437241-01","Activity- counterscreen","null",4.000,-9.999,"N(Cc1nc(-c2sccc2)on1)c1nc(C(C)(C)C)nc2n(C)ncc12"
"NCGC00425561-01","Activity- counterscreen","22.946142",-2.200,-52.409,"Brc1cc(C(=O)Nc2cc3ncnc(N4CCOCC4)c3cc2)ccc1"
"NCGC00464338-01","Activity- counterscreen","null",4.000,-0.421,"O(CCc1nc(C2CNC2)on1)C"
"NCGC00431198-01","Activity- counterscreen","null",4.000,-2.573,"Fc1ccc(-c2c(CCC(=O)NCc3oc(C)cc3)con2)cc1"
"NCGC00399947-01","Activity- counterscreen","null",4.000,-5.005,"O=C(OC)[C@]1N2[C@](c3cc(OC)ccc3)C[C@](NCCOC)C[C@@]2c2[nH]c3c(c2C1)cccc3"
"NCGC00398868-01","Activity- counterscreen","null",4.000,9.604,"S(=O)(=O)(N1C[C@@]2C3=C(NC(=O)c4occc4)C=CC(=O)N3C[C@](C1)C2)c1ccc(OC)cc1"
"NCGC00449742-01","Activity- counterscreen","null",4.000,6.362,"O(C)c1cc(C2OCc3c(-c4onc(-c5cscc5)n4)nnn3C2)ccc1"
"NCGC00445353-01","Activity- counterscreen","null",4.000,-0.698,"Fc1ccc(-c2nc(-c3n(CC(=O)NCCC4=CCCCC4)ccc3)on2)cc1"
"NCGC00494790-01","Activity- counterscreen","null",4.000,-18.560,"Clc1noc(CCC(=O)N2Cc3n(nc(-c4oc(C)cc4)c3)CCC2)c1"
"NCGC00473860-01","Activity- counterscreen","null",4.000,2.248,"Clc1c(NC(=O)N2Cc3c4c([nH]c3CC2)ccc(F)c4)ccc(Cl)c1"
"NCGC00419972-01","Activity- counterscreen","29.649624",-2.200,-41.703,"O=C(Nc1c(C)cccc1)c1cnc2c(N(c3c(OC)cccc3)CCC2)c1"
"NCGC00396518-01","Activity- counterscreen","null",4.000,7.820,"N(Cc1oc(C)cc1)C1(Cc2noc(-c3ncccc3)c2)COC1"
"NCGC00391214-01","Activity- counterscreen","null",4.000,-1.840,"S=C(Nc1ccc(F)cc1)N[C@@]1[C@]2OC[C@](n3c(Oc4cc5OCOc5cc4)nnn3)[C@]2OC1"
"NCGC00391266-01","Activity- counterscreen","null",4.000,-0.071,"O=C(C)N1CCC(N2C[C@]3N(CC4CC4)C(=O)CO[C@]3C2)CC1"
"NCGC00421438-01","Activity- counterscreen","null",4.000,5.124,"O=C(NC[C@@]1N2C[C@](c3nc(C)nc(-c4occc4)c3)[C@](C1)CC2)C(C)(C)C"
"NCGC00393049-01","Activity- counterscreen","null",4.000,8.076,"O=C(N[C@]1[C@](O)[C@](O)C[C@@]1c1c(C)cccc1)c1c(C)cccc1"
"NCGC00396418-01","Activity- counterscreen","null",4.000,-0.426,"O=C(N[C@]1[C@](O)[C@](O)C[C@@]1c1ccc(C)cc1)C1CC1"
"NCGC00392572-01","Activity- counterscreen","null",4.000,-0.036,"O(C)c1c(N2CCN([C@@]3[C@@](O)[C@](NCc4occc4)[C@@]4O[C@]3OC4)CC2)cccc1"
"NCGC00416760-01","Activity- counterscreen","null",4.000,-2.923,"O(c1c(-c2nccc3C(=O)C=C(c4ccncc4)Oc23)cccc1)c1ccccc1"
"NCGC00416093-01","Activity- counterscreen","null",4.000,1.894,"O=C(Nc1cc(OC)c(OC)cc1)c1cc2NC(COc3ccccc3)(C)COc2cc1"
"NCGC00417730-01","Activity- counterscreen","null",4.000,-0.624,"O=C(NCc1occc1)c1c(C)onc1-c1c(NCc2cnccc2)n(C)nc1"
"NCGC00397151-01","Activity- counterscreen","null",4.000,1.618,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(C1CCOCC1)C3)C[C@](O)C2"
"NCGC00397180-01","Activity- counterscreen","null",4.000,4.353,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(C1Cc4c(cccc4)C1)C3)C[C@](O)C2"
"NCGC00414447-01","Activity- counterscreen","null",4.000,6.606,"Clc1ccc(C(=O)N2CCC3(C(=O)N(CC4CCOCC4)CCO3)CC2)cc1"
"NCGC00401301-01","Activity- counterscreen","null",4.000,-5.213,"S(Cc1occc1)c1n([C@@]2[C@]3OC[C@@](OC(=O)Nc4ccccc4)[C@]3OC2)nnn1"
"NCGC00397145-01","Activity- counterscreen","null",4.000,-2.799,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(Cc1ccncc1)C3)C[C@](O)C2"
"NCGC00419957-01","Activity- counterscreen","null",4.000,3.553,"Clc1cc(NC(=O)c2cnc3c(N(Cc4ccccc4)CCC3)c2)ccc1"
