"Sample ID","Mean(Activity)","PCA dimension 0","PCA dimension 1"
"NCGC00178241-08","1",-1.8785377441238085,0.8787746784806032
"NCGC00161827-01","1",-1.9240971515515137,0.9312058634398415
"NCGC00178241-04","1",-1.5165335459107439,1.0536576548252519
"NCGC00161826-02","1",-1.6189524069084598,-0.27741936126668976
"NCGC00166328-02","1",-1.8839126254204213,1.2116350022227727
"NCGC00159424-04","1",-1.8822784500072394,1.143908851167212
"NCGC00091563-12","1",-1.8412440656112037,1.0958030691436402
"NCGC00164057-04","1",-1.7631342472845435,1.0416020510918609
"NCGC00166409-02","1",-1.8614094132858736,1.1268025322396247
"NCGC00166005-02","1",-1.835368721906374,1.0233754669111912
"NCGC00166241-02","1",-1.9602677032323441,0.8574433153623038
"NCGC00016344-07","1",-1.3255560537872042,0.4693045439724049
"NCGC00181776-02","1",-0.24941823931891896,1.5590163421973886
"NCGC00164493-02","1",-1.4777154478425913,-0.2569445835107478
"NCGC00091050-09","1",-1.4350276426520108,-0.09993346871934275
"NCGC00371134-10","1",-1.6095813668525996,0.03648019080386137
"NCGC00090708-11","1",-1.083293724064443,-0.8514136187263637
"NCGC00016542-06","1",-1.90832101719927,0.3366811988941542
"NCGC00091195-08","1",-1.8956179467157162,0.4825396932449611
"NCGC00183121-02","1",-1.5049408521530798,-0.2625372617951909
"NCGC00249897-01","1",-1.5892102716757812,0.5185482775533463
"NCGC00091034-10","1",-0.8388371019491866,1.1322068809257348
"NCGC00387263-03","1",-0.9700362078647574,-0.3259305849065769
"NCGC00167479-01","1",-1.7979044067447,0.6261479650236936
"NCGC00181134-02","1",-1.8356466120077843,0.08375380377806647
"NCGC00024667-14","1",-1.765096218766113,0.31526997621835234
"NCGC00015412-17","1",-1.0933616502521044,-0.5947246656038507
"NCGC00091902-11","1",-1.9010224049463988,1.2947543408137723
"NCGC00080392-05","1",-1.3345300508945375,-0.1729326148312317
"NCGC00183137-01","1",-0.9228259334691288,-0.5222803357722949
"NCGC00160469-01","1",-1.9646014814797517,1.1012974039407266
"NCGC00016323-09","1",-1.3144631292527678,0.04583793722293356
"NCGC00021394-04","1",-0.9308259222496872,1.3581172357865545
"NCGC00185990-04","1",-0.21303583792308906,0.0452819342264956
"NCGC00387111-01","1",-1.0878050286183554,0.38535439620648365
"NCGC00160431-01","1",-1.0030311043624882,-0.5952995028880546
"NCGC00015163-16","1",-1.8480755736342438,0.4227975381805433
"NCGC00346833-02","1",-1.2091532780817988,-0.04276935700286172
"NCGC00015748-17","1",-1.1648935348921199,0.2297089998763366
"NCGC00182975-01","1",-1.7025336035130645,0.34032702012540955
"NCGC00016260-18","1",-1.5208797841614101,0.16810351966187437
"NCGC00013058-02","1",-1.5324931538750945,-0.3860237194993958
"NCGC00183049-01","1",-1.4418599308069469,0.11786418529769412
"NCGC00485883-01","1",-1.591342697286122,0.3624940854999066
"NCGC00185778-04","1",-0.61513142523968,0.9829893297501223
"NCGC00017236-16","1",-1.4440818384676037,-0.8147466050199681
"NCGC00344326-02","1",-1.928218211748112,1.1278900946549841
"NCGC00482644-01","1",-1.580214754407894,-0.14158083325110182
"NCGC00164555-03","1",-1.8024332018024356,0.7422126801404612
"NCGC00181101-01","1",-0.9479381286314296,-0.9124683083337132
"NCGC00384206-10","1",-0.5740107660046819,0.963883762712219
"NCGC00464339-01","1",0.017543358210157692,0.8442810047847168
"NCGC00346470-02","1",-0.5826674103664454,0.38546881665066474
"NCGC00025349-06","1",-0.7564262481851258,0.36279239720010364
"NCGC00160391-09","1",-1.8786705103681538,1.078451101141685
"NCGC00181320-01","1",-1.4800806921152474,-0.6808354684570423
"NCGC00159391-03","1",-1.1450521571183978,0.25411233980998527
"NCGC00016498-08","1",-0.264599897773538,0.7264224851921974
"NCGC00162218-05","1",0.14986710323308117,1.6471736507381138
"NCGC00182060-03","1",-1.4817602687810865,-1.0627939141646654
"NCGC00015810-25","1",-1.350795825509524,-1.1065495935582226
"NCGC00182054-03","1",-1.2216928674930285,0.17668623967166164
"NCGC00024683-04","1",-1.4363218576901216,1.1948902598270394
"NCGC00390251-02","1",-1.1316631778433726,0.8403496075823227
"NCGC00167447-02","1",-1.2507023574040692,0.5369451816415514
"NCGC00263102-04","1",-1.3122754557589444,-0.8549605488920753
"NCGC00165912-03","1",-0.9773596053906145,-0.18291952987548105
"NCGC00394511-01","1",0.734204996118402,0.5056280353329768
"NCGC00378162-01","1",0.2372314783969892,0.9572022879968187
"NCGC00346534-04","1",-0.9193366203002556,-0.4202161484121959
"NCGC00181170-10","1",-0.7157849163410377,-0.03148493965387597
"NCGC00167528-02","1",0.36560498946842523,-0.45795108960823805
"NCGC00412042-01","1",-0.5105361414643469,-1.0610800955403024
"NCGC00166397-04","1",-0.7217417991316846,-0.10602056617871233
"NCGC00164319-10","1",-1.4045615557130566,0.562181693744235
"NCGC00416766-01","1",-0.4854450905164657,-1.5047768735188507
"NCGC00164551-05","1",-0.05238470504204352,0.9165685979505048
"NCGC00510496-01","1",-0.17990787051909085,0.834633067702252
"NCGC00510523-01","1",0.48816740101327105,-0.03730505649953542
"NCGC00390666-03","1",-1.2385226883416494,-0.2985615141133486
"NCGC00472756-01","1",-0.6846610531507527,-0.35961291100585163
"NCGC00179306-04","1",-0.5332152885991338,-0.34349498379081944
"NCGC00401721-01","1",-0.6870189921136204,0.004077168793308095
"NCGC00521507-01","1",0.9149001341273358,0.9391442811829547
"NCGC00179867-02","1",-1.7818335427395178,0.5519861389489997
"NCGC00394361-01","1",-0.14245988048931757,-0.5744094045764729
"NCGC00420092-01","1",0.6985267256028174,-1.794507981217505
"NCGC00509984-01","1",-0.08282735873208788,-0.27733094390942786
"NCGC00436841-01","1",-0.1658856034140559,0.7164367965320975
"NCGC00183866-01","1",-0.34559456720272363,-0.6574631027284614
"NCGC00179291-04","1",-0.13041480514477707,0.7553585955527158
"NCGC00253591-01","1",0.22213008774928047,-0.5813464329360919
"NCGC00517908-01","1",0.808411456514871,-0.29787783589622907
"NCGC00537446-01","1",0.8278324844983062,-0.5521698088697894
"NCGC00436879-01","1",-0.6875161828090418,-0.636245989474328
"NCGC00188690-02","1",0.3206930118798442,0.2525886870420275
"NCGC00438747-01","1",0.4018590314388948,-0.8114962635353682
"NCGC00178913-07","1",-1.434039363134652,1.7064748161683765
"NCGC00183879-01","1",-0.7853401189806132,-0.9199991137238226
"NCGC00164574-06","1",-1.3202157034533306,-1.0846805337111272
"NCGC00179521-03","1",-0.5683131512232091,0.34566524256497244
"NCGC00345539-08","1",-1.3648345697929731,-0.6671038187921536
"NCGC00165961-04","1",-1.4251970207972846,-0.8792382497447102
"NCGC00517930-01","1",-0.5676265424333343,-1.026303371328666
"NCGC00162149-07","1",-1.6854859055840234,1.1367056220087177
"NCGC00095095-04","1",-0.8081438754314811,-0.14549164975434842
"NCGC00385183-01","1",-1.389389228485335,-0.3206668178907395
"NCGC00397172-01","1",-0.6932267172605667,0.11282346889534224
"NCGC00178090-03","1",-1.5237655413523599,1.5527690051979735
"NCGC00348215-05","1",-1.216984214626445,-1.4970372886534706
"NCGC00389453-01","1",-1.161613496908887,1.1954144019414643
"NCGC00179310-03","1",-0.7849833221411278,-0.04628351269491203
"NCGC00511175-01","1",1.0037796184700256,0.12160630716753773
"NCGC00186460-05","1",-1.4103910028685407,1.6422376763258084
"NCGC00250382-07","1",-0.3170824676391745,-1.2862015249901582
"NCGC00167969-02","1",-0.5348027680290254,-0.4499340799042252
"NCGC00526842-01","1",1.408844396105001,-0.559188154521384
"NCGC00179514-05","1",-0.22021188075703135,-0.3829132455212324
"NCGC00530163-01","1",-0.4183809929652331,-1.8226679416965959
"NCGC00388216-02","1",-0.8837213213622513,0.4413305699143596
"NCGC00494789-01","1",1.2273355466552638,0.14641427000217752
"NCGC00159455-09","1",-0.39890993903408223,-0.7798650990031737
"NCGC00263530-01","1",0.5537528226849073,-0.728962302170379
"NCGC00167543-06","1",-0.23160870173714143,-0.6052649751201375
"NCGC00391290-01","1",0.6083072893938749,0.013103368336229304
"NCGC00241107-10","1",-0.23374514782728395,-0.48525749855496664
"NCGC00397985-01","1",-0.46845342405118684,0.14219689182834372
"NCGC00186054-03","1",-1.5311504573373933,-0.12313889756231265
"NCGC00168786-02","1",-0.33151756748788563,-0.5651304504944082
"NCGC00263156-14","1",-0.14745756630669166,-0.481958742030097
"NCGC00179599-03","1",-0.32477516925981237,0.14809848292505212
"NCGC00390266-01","1",0.0023768235439555353,1.719571722750522
"NCGC00346438-05","1",-1.5951412665735987,0.8766916134686418
"NCGC00483046-01","1",0.17608788852282434,0.8820863182102433
"NCGC00509859-03","1",0.5943707362593623,-0.22974271987356792
"NCGC00356590-01","0",-1.75095555812273,0.8849952439603253
"NCGC00159409-08","0",-1.5012289758318824,1.30705533452339
"NCGC00094762-08","0",-1.4879527936260706,1.1376850932237965
"NCGC00348372-01","0",-1.4988804740601291,1.2021115910061655
"NCGC00094558-09","0",-1.76775876921488,1.2277710909389612
"NCGC00091070-02","0",-1.8315791272467483,1.103509579801832
"NCGC00015691-06","0",-1.8764153202738754,1.0694052971896475
"NCGC00094719-08","0",-1.186426940006708,1.0665813574763992
"NCGC00166270-02","0",-1.8385423336163318,0.6254719594292797
"NCGC00159372-04","0",-1.7727387634701814,1.0806296068815822
"NCGC00159412-04","0",-1.9491921859882486,1.1363542519318814
"NCGC00037856-01","0",-1.80528900769735,1.0926383596088525
"NCGC00167420-01","0",-1.7387646081684962,0.9561064871200964
"NCGC00159392-05","0",-1.9038990822885202,1.1038115996386468
"NCGC00015523-13","0",-1.787258058317853,0.46955705263138375
"NCGC00090793-05","0",-1.4673444592716705,-0.42737351188534034
"NCGC00015520-11","0",-1.7467372846871012,0.9798495973719827
"NCGC00090970-03","0",-1.6360515309468344,1.0217028091132043
"NCGC00013687-03","0",-1.8602877260776807,0.8346139830781536
"NCGC00091021-01","0",-1.6569252047926182,1.0106210853989759
"NCGC00090868-06","0",-1.9213716862072887,0.7769333113429753
"NCGC00347131-03","0",-1.72136943017703,1.0829231018505918
"NCGC00264003-02","0",-1.6032543810115207,1.088643590032751
"NCGC00024494-02","0",-1.7350804049670323,1.1656180560818905
"NCGC00178317-03","0",-1.7414809538426144,0.9199933849669295
"NCGC00166122-01","0",-1.7361818445518045,0.9555012035551165
"NCGC00013216-05","0",-1.9245330338389668,1.195123822619381
"NCGC00164100-01","0",-1.556003116645623,0.8227262395515755
"NCGC00159411-02","0",-1.934745363106394,1.1120017411619303
"NCGC00015219-07","0",-1.9148052753638107,1.164619719653615
"NCGC00091110-01","0",-1.9975889621507132,1.077599633577567
"NCGC00344532-01","0",-1.562842259435637,0.913673657358167
"NCGC00166072-02","0",-2.047287120278544,0.908648306414759
"NCGC00166055-04","0",-1.7305540570565323,0.9331039439161721
"NCGC00159352-14","0",-1.8231227405320274,1.1600137758700366
"NCGC00166257-03","0",-1.9598260245479635,0.83669404904786
"NCGC00095042-09","0",-0.7865182483795045,1.2373957423244282
"NCGC00091454-07","0",-1.679810541412493,-0.2016215433759739
"NCGC00091297-05","0",-1.7028013623930798,-0.28290880164625165
"NCGC00164344-04","0",-1.3905982266645596,0.7814645434506533
"NCGC00162143-03","0",-1.7562365816106893,1.0534137910647168
"NCGC00532505-01","0",-1.7160352673188868,1.1177168699225337
"NCGC00091501-06","0",-1.6318416621414944,-0.07473712477150897
"NCGC00091835-10","0",-1.7758551756444545,1.1438907299448913
"NCGC00344538-01","0",-1.8202474548257663,1.0975589243200992
"NCGC00094363-07","0",-1.7923763004999047,1.032729696556174
"NCGC00091099-01","0",-1.9686254541477168,0.8391845010526433
"NCGC00348363-01","0",-2.021141924325721,0.9534514828061078
"NCGC00164520-02","0",-1.7526495687159198,1.1662149261936923
"NCGC00091345-04","0",-1.7986351825654565,1.1499481377578045
"NCGC00015997-10","0",-1.8514937784086676,1.1592616186135136
"NCGC00344520-01","0",-1.805616921499945,1.160974797518444
"NCGC00178318-04","0",-1.6684733950610136,0.9766530709550736
"NCGC00015036-11","0",-1.1961187173312482,1.5181483679358334
"NCGC00249052-02","0",-1.8304248137836083,1.166812348555136
"NCGC00015150-04","0",-1.3739041688129956,0.908394801991451
